Year,Region,Crop,Season,Yield_kg_per_ha,Area_ha,Production_tonnes,Rainfall_mm,Avg_Temp_C,Fertilizer_kg_per_ha
2019,Punjab,Rice,Kharif,3601.0,6979.1,25131.74,838.9,24.7,148.0
2019,Punjab,Rice,Rabi,1330.5,6932.3,9223.43,200.8,16.6,153.6
2019,Punjab,Rice,Zaid,1683.6,6141.8,10340.33,82.7,20.2,163.8
2019,Punjab,Wheat,Kharif,766.4,4914.1,3766.17,728.1,25.3,104.7
2019,Punjab,Wheat,Rabi,5116.0,5013.6,25649.58,101.9,25.7,149.9
2019,Punjab,Wheat,Zaid,1023.7,4965.4,5083.08,78.8,26.2,132.7
2019,Punjab,Maize,Kharif,3611.2,2828.3,10213.56,998.2,26.4,139.9
2019,Punjab,Maize,Rabi,2568.1,3345.5,8591.58,151.1,18.6,91.0
2019,Punjab,Maize,Zaid,2893.4,3639.4,10530.24,135.7,28.7,162.0
2019,Punjab,Cotton,Kharif,646.8,2431.0,1572.37,723.3,26.6,166.4
2019,Punjab,Cotton,Rabi,445.5,2328.8,1037.48,30.0,19.7,162.2
2019,Punjab,Sugarcane,Kharif,110935.8,1138.2,126267.13,910.4,25.5,132.3
2019,Punjab,Sugarcane,Rabi,100886.4,1238.8,124978.07,198.0,17.5,129.7
2019,Punjab,Sugarcane,Zaid,102033.2,1358.9,138652.92,48.1,27.8,165.1
2019,Punjab,Pulses,Kharif,1219.1,2501.5,3049.58,798.4,32.5,148.5
2019,Punjab,Pulses,Rabi,1971.5,2269.6,4474.52,46.4,18.3,132.5
2019,Punjab,Pulses,Zaid,875.6,2603.7,2279.8,30.0,26.4,102.6
2019,Punjab,Soybean,Kharif,1506.9,1519.2,2289.28,909.5,25.6,127.5
2019,Punjab,Groundnut,Kharif,2468.7,1582.1,3905.73,876.3,32.1,144.4
2019,Punjab,Groundnut,Rabi,1986.1,1280.4,2543.0,173.9,16.8,103.4
2019,Punjab,Groundnut,Zaid,1776.1,1235.5,2194.37,140.9,20.0,148.6
2019,Haryana,Rice,Kharif,3080.3,5650.6,17405.54,826.9,27.5,150.1
2019,Haryana,Rice,Rabi,1344.9,5697.0,7661.9,134.0,17.9,98.2
2019,Haryana,Rice,Zaid,1465.1,5114.7,7493.55,40.6,28.2,201.6
2019,Haryana,Wheat,Kharif,651.1,4481.6,2917.97,874.1,29.0,139.8
2019,Haryana,Wheat,Rabi,4450.9,5409.7,24078.03,30.0,20.4,117.3
2019,Haryana,Wheat,Zaid,1014.7,5216.9,5293.59,30.0,25.4,141.9
2019,Haryana,Maize,Kharif,3313.5,2630.9,8717.49,923.9,28.3,127.4
2019,Haryana,Maize,Rabi,2118.1,3030.5,6418.9,125.5,19.6,117.1
2019,Haryana,Maize,Zaid,3030.1,2588.2,7842.5,107.1,25.7,131.9
2019,Haryana,Cotton,Kharif,669.7,2602.1,1742.63,751.5,32.1,203.5
2019,Haryana,Cotton,Rabi,387.0,2659.1,1029.07,103.5,18.8,159.5
2019,Haryana,Sugarcane,Kharif,86810.8,1268.5,110119.5,744.4,29.9,170.4
2019,Haryana,Sugarcane,Rabi,91181.8,1013.1,92376.28,187.8,18.9,122.1
2019,Haryana,Sugarcane,Zaid,97005.8,1242.2,120500.6,157.9,30.2,116.1
2019,Haryana,Pulses,Kharif,1025.5,2268.2,2326.04,759.6,30.9,150.3
2019,Haryana,Pulses,Rabi,1535.6,1854.6,2847.92,271.7,13.9,120.7
2019,Haryana,Pulses,Zaid,840.7,2195.1,1845.42,100.8,28.0,176.3
2019,Haryana,Soybean,Kharif,1425.1,1439.2,2051.0,1067.6,25.1,164.4
2019,Haryana,Groundnut,Kharif,2118.2,1192.1,2525.11,839.0,27.3,157.9
2019,Haryana,Groundnut,Rabi,1909.2,1503.6,2870.67,114.2,16.6,159.4
2019,Haryana,Groundnut,Zaid,1699.9,1247.5,2120.63,92.6,28.6,108.9
2019,Uttar Pradesh,Rice,Kharif,2672.0,5054.0,13504.29,880.8,28.7,119.8
2019,Uttar Pradesh,Rice,Rabi,1063.3,5307.5,5643.46,124.1,21.2,166.3
2019,Uttar Pradesh,Rice,Zaid,1192.7,5409.4,6451.79,45.0,28.9,146.4
2019,Uttar Pradesh,Wheat,Kharif,550.9,4181.9,2303.81,919.8,29.7,168.4
2019,Uttar Pradesh,Wheat,Rabi,3755.1,4669.1,17532.94,172.1,14.5,102.5
